State,District,Village,Population,Pin_Code,Leptospirosis,Norovirus,Legionnaires_Disease,Dysentery_Bacillary,Typhoid_Fever,Rotavirus,Cholera,Giardiasis,Dysentery_Amoebic,Hepatitis_E,Hepatitis_A,Schistosomiasis,Cryptosporidiosis,Acute_Diarrhoeal_Disease,Poliomyelitis,E_coli_Diarrhea,Total_Patients
Meghalaya,South Garo Hills,South Garo Hills_Village_14,2978,818605,1,4,0,4,1,11,4,4,1,0,0,0,1,18,0,9,58
Arunachal Pradesh,West Siang,West Siang_Village_17,9286,413921,10,13,1,19,4,27,7,9,13,2,3,0,8,57,0,31,204
Arunachal Pradesh,Siang,Siang_Village_20,7741,466643,4,11,1,16,5,18,11,10,7,0,2,1,0,34,0,9,129
Nagaland,Mon,Mon_Village_7,7593,177289,2,15,0,14,10,21,4,8,10,2,1,0,3,35,0,13,138
Meghalaya,South Garo Hills,South Garo Hills_Village_8,5515,503951,0,11,0,11,1,13,5,8,11,2,1,0,3,29,0,10,105
Mizoram,Mamit,Mamit_Village_15,1062,288056,1,0,0,2,1,2,4,1,1,0,0,0,1,1,0,4,18
Meghalaya,West Khasi Hills,West Khasi Hills_Village_3,5851,125755,3,17,0,3,4,15,5,2,13,1,1,1,2,36,0,11,114
Arunachal Pradesh,Kamle,Kamle_Village_7,1825,899787,1,1,0,3,1,7,0,1,1,1,0,0,0,16,0,3,35
Assam,Golaghat,Golaghat_Village_11,1973,467121,0,5,0,3,0,5,2,1,1,1,0,0,0,11,0,3,32
Nagaland,Kohima,Kohima_Village_19,9811,838927,3,26,0,6,6,20,11,7,19,4,2,0,8,51,0,17,180
Tripura,Gomati,Gomati_Village_11,7305,764259,5,12,0,15,11,18,6,8,8,2,4,0,5,34,0,12,140
Manipur,Jiribam,Jiribam_Village_3,1762,293757,1,2,0,6,1,5,2,2,3,0,0,0,2,10,0,4,38
Arunachal Pradesh,Upper Subansiri,Upper Subansiri_Village_11,4053,523389,5,2,0,6,3,8,4,5,7,1,0,2,1,20,1,8,73
Arunachal Pradesh,East Kameng,East Kameng_Village_5,7773,497887,2,18,1,9,8,27,7,11,8,4,3,0,3,43,0,14,158
