State,District,Village,Rainfall_Level,Humidity_Level,Flood_Risk,Air_Temperature_C,Water_pH,Turbidity,Dissolved_Oxygen,BOD,COD,Nitrate,Fecal_Coliform,Arsenic,Lead,Sanitation_Coverage(%),Sewage_Treatment_Quality,Wind_Speed_kmh,Solar_Radiation_Wm2,Land_Use_Type,Waste_Management_Quality,Population_Density_per_km2,Total_Dissolved_Solids,Chloride,Sulphate,Ammonia,Heavy_Metals_Index,Water_Temperature_C,Overall_Risk_Level
Arunachal Pradesh,Tawang,Tawang_Village_1,Very Low,Low,Moderate,25.8,7.38,1.56,4.01,0.69,2.9,27.96,218,0.005,0.025,16,Moderate,36.0,848.2,Industrial,Moderate,3435,251.66,180.0,331.06,2.18,3.48,34.0,High
Arunachal Pradesh,Tawang,Tawang_Village_2,Low,Moderate,Very Low,32.5,6.02,9.42,9.36,1.95,4.38,4.42,398,0.052,0.024,99,Poor,27.9,683.0,Agricultural,Moderate,3002,1132.77,97.56,345.22,0.74,1.32,29.8,High
Arunachal Pradesh,Tawang,Tawang_Village_3,Low,High Risk,Very Low,19.6,6.23,9.77,5.62,0.17,16.52,10.39,161,0.092,0.028,70,Poor,30.7,557.5,Urban,Good,1401,337.63,15.43,202.35,0.19,1.58,24.1,Moderate
Arunachal Pradesh,Tawang,Tawang_Village_4,Low,High Risk,High Risk,19.3,6.78,2.18,7.92,3.2,0.32,13.24,145,0.053,0.032,73,Moderate,26.3,66.1,Urban,Poor,3667,152.77,43.41,343.43,0.85,3.17,32.3,High Risk
Arunachal Pradesh,Tawang,Tawang_Village_5,Moderate,High Risk,High,29.2,6.34,8.56,2.55,1.84,9.18,23.14,309,0.028,0.05,52,Good,26.5,328.7,Rural,Good,589,321.89,114.48,185.57,1.69,4.98,23.2,High Risk
Arunachal Pradesh,Tawang,Tawang_Village_6,Low,Moderate,Low,25.9,7.73,1.81,3.24,0.03,1.53,12.03,96,0.05,0.035,22,Good,39.8,856.9,Industrial,Good,3560,333.95,129.06,354.94,1.87,0.25,27.2,Low
Arunachal Pradesh,Tawang,Tawang_Village_7,Moderate,High,Low,27.8,7.79,3.48,3.34,2.34,19.37,39.28,31,0.048,0.001,78,Poor,1.7,378.4,Urban,Good,4535,1038.54,245.3,117.7,1.17,2.12,31.1,Low
Arunachal Pradesh,Tawang,Tawang_Village_8,Very Low,High Risk,Low,23.5,7.22,4.87,8.72,5.31,18.08,3.56,457,0.076,0.008,59,Moderate,33.8,732.7,Urban,Good,1076,501.82,105.46,390.88,1.19,3.03,7.7,High Risk
Arunachal Pradesh,Tawang,Tawang_Village_9,High,Low,Moderate,12.6,8.03,4.84,5.41,5.33,7.52,30.24,293,0.004,0.023,76,Moderate,10.7,416.6,Urban,Poor,2297,294.64,224.0,316.2,2.66,1.21,17.0,High Risk
Arunachal Pradesh,Tawang,Tawang_Village_10,Very Low,High,High Risk,11.0,6.96,3.13,6.08,2.03,14.54,45.89,420,0.015,0.007,32,Moderate,18.6,208.6,Rural,Moderate,102,701.56,126.14,79.41,0.29,1.16,21.0,High
Arunachal Pradesh,Tawang,Tawang_Village_11,Very Low,Moderate,Low,31.2,7.02,0.45,8.6,4.39,6.66,39.78,268,0.032,0.039,37,Good,1.1,522.2,Industrial,Moderate,1830,729.6,155.13,293.91,1.78,4.04,23.4,High Risk
